Year,Ticker,ESG_Score,Enviornmental_Score,Governance_Score,Social_Score,Unnamed: 6,Price at beginning of year,pi.p1,pip.p1,pi.p2,pip.p2,pi.p3,pip.p3,pi.p4,pip.p4,pi.p5,pip.p5,pi.f1,pip.f1,pi.f2,pip.f2,pi.f3,pip.f3,pi.f4,pip.f4,pi.f5,pip.f5
2018,LYB,4.800000191,3.554078817,7.568604469,4.506465912,43102.0,112.23,,,,,,,,,,,-28.34,-0.33782334,-18.37,-0.195717025,-22.94,-0.256915668,-19.07,-0.204701589,-28.24,-0.336230504
2019,LYB,5.46999979,3.483236074,7.752766132,7.062466621,43467.0,83.89,-28.34,-0.33782334,,,,,,,,,9.97,0.106222033,5.4,0.060477097,9.27,0.099506226,0.1,0.001190618,12.69,0.131393663
2020,LYB,5.579999924,3.438387394,7.581733227,7.792149544,43832.0,93.86,9.97,0.106222033,-18.37,-0.195717025,,,,,,,-4.57,-0.051181543,-0.7,-0.007513954,-9.87,-0.11751399,2.72,0.028163181,-21.08,-0.289640011
2021,LYB,5.869999886,4.156248093,7.584451199,7.372412682,44200.0,89.29,-4.57,-0.051181543,5.4,0.060477097,-22.94,-0.256915668,,,,,3.87,0.041541434,-5.3,-0.06310275,7.29,0.075481466,-16.51,-0.226848035,,
2022,LYB,6.360000134,4.551873207,8.20370388,7.90046072,44564.0,93.16,3.87,0.041541434,-0.7,-0.007513954,9.27,0.099506226,-19.07,-0.204701589,,,-9.17,-0.109179664,3.42,0.035411058,-20.38,-0.280021984,,,,
2023,LYB,6.179999828,4.459985256,7.879538059,7.698169231,44929.0,83.99,-9.17,-0.109179664,-5.3,-0.06310275,-9.87,-0.11751399,0.1,0.001190618,-28.24,-0.336230504,12.59,0.130358252,-11.21,-0.154025831,,,,,,
2024,LYB,,,,,45293.0,96.58,12.59,0.130358252,3.42,0.035411058,7.29,0.075481466,2.72,0.028163181,12.69,0.131393663,-23.8,-0.327012916,,,,,,,,
2025,LYB,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,45659.0,72.78,-23.8,-0.327012916,-11.21,-0.154025831,-20.38,-0.280021984,-16.51,-0.226848035,-21.08,-0.289640011,,,,,,,,,,
2018,AXP,4.059999943,5.690963268,8.144505501,1.943421841,43102.0,98.94,,,,,,,,,,,-3.26,-0.034071906,26.91,0.213825983,19.1,0.161809556,69.27,0.41180667,48.18,0.327487765
2019,AXP,4.110000134,4.925640583,8.275585175,2.084477186,43467.0,95.68,-3.26,-0.034071906,,,,,,,,,30.17,0.239729837,22.36,0.189427313,72.53,0.431187206,51.44,0.349646547,92.63,0.491901652
